id,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights
174430,Gloomhaven,2017,1,4,120,60,120,12,19397,8.94697,32359,134,1322,10723,3993,847
161936,Pandemic Legacy: Season 1,2015,2,4,60,60,60,13,27985,8.65246,44562,180,784,7987,4489,805
182028,Through the Ages: A New Story of Civilization,2015,2,4,240,180,240,14,13639,8.57667,17290,193,1056,6054,2006,679
167791,Terraforming Mars,2016,1,5,120,120,120,12,30804,8.38949,39120,158,2054,11829,4702,1083
12333,Twilight Struggle,2005,2,2,180,120,180,13,32474,8.33038,44447,702,1348,8577,7427,3155
187645,Star Wars: Rebellion,2016,2,4,240,180,240,14,14629,8.45699,22356,175,1336,7459,2384,487
169786,Scythe,2016,1,5,115,90,115,14,33158,8.28403,42939,236,1848,12225,5318,1263
220308,Gaia Project,2017,1,4,150,60,150,12,6723,8.60696,8355,49,1008,5032,1040,470
120677,Terra Mystica,2012,2,5,150,60,150,12,30583,8.21645,33957,480,1774,10451,4691,2207
193738,Great Western Trail,2016,2,4,150,75,150,12,15685,8.29041,19216,87,1559,6297,2152,607
84876,The Castles of Burgundy,2011,2,4,90,30,90,12,33563,8.12421,46660,463,1128,7014,6025,1837
115746,War of the Ring (Second Edition),2012,2,4,180,150,180,13,8818,8.39568,14336,159,1064,5326,1727,506
180263,The 7th Continent,2017,1,4,1000,5,1000,14,7565,8.54959,14747,67,1131,6761,1969,224
173346,7 Wonders Duel,2015,2,2,30,30,30,10,35345,8.1394,54572,385,931,5673,5025,1057
3076,Puerto Rico,2002,2,5,150,90,150,12,54174,8.04965,62750,1073,1019,7986,10936,5690
102794,Caverna: The Cave Farmers,2013,1,7,210,30,210,12,22104,8.0971,28155,354,1747,8802,3620,1244
233078,Twilight Imperium (Fourth Edition),2017,3,6,480,240,480,14,4239,8.77541,6178,20,630,4089,782,204
183394,Viticulture Essential Edition,2015,1,6,90,45,90,13,14061,8.15307,19027,97,1304,5399,2008,365
205637,Arkham Horror: The Card Game,2016,1,2,120,60,120,14,14151,8.24482,26524,311,738,4880,2315,404
31260,Agricola,2007,1,5,150,30,150,12,54848,8.00953,66014,1152,1117,8929,11574,5673
124361,Concordia,2013,2,5,100,100,100,13,17048,8.08492,19795,128,1564,6099,3032,762
96848,Mage Knight Board Game,2011,1,4,240,60,240,14,22274,8.10901,32832,818,1230,8876,4728,2025
205059,Mansions of Madness: Second Edition,2016,1,5,180,120,180,14,13989,8.18361,21930,148,1165,6921,1980,259
28720,Brass: Lancashire,2007,2,4,120,60,120,14,13180,8.08531,17341,377,871,4385,3363,1201
164928,Orlans,2014,2,4,90,90,90,12,14009,8.083,16401,118,1293,4980,2141,520
170216,Blood Rage,2015,2,4,90,60,90,14,22765,8.0517,27925,241,1411,7659,3543,762
162886,Spirit Island,2017,1,4,120,90,120,13,6138,8.39839,9389,68,1330,6533,1308,384
175914,Food Chain Magnate,2015,2,5,240,120,240,14,8407,8.203,10296,86,1346,5292,1628,473
209010,Mechs vs. Minions,2016,2,4,90,60,90,14,10065,8.18062,15476,165,969,5370,1636,180
164153,Star Wars: Imperial Assault,2014,2,5,120,60,120,14,15380,8.11321,26613,368,895,5311,2394,676
177736,A Feast for Odin,2016,1,4,120,30,120,12,9284,8.17226,12297,91,1414,5978,1474,329
25613,Through the Ages: A Story of Civilization,2006,2,4,240,240,240,12,16532,8.00963,16522,847,682,4238,3830,1756
221107,Pandemic Legacy: Season 2,2017,2,4,60,60,60,14,5395,8.35719,12025,52,352,3206,968,93
2651,Power Grid,2004,2,6,120,120,120,12,47924,7.90353,55338,778,1333,8620,9257,4433
55690,Kingdom Death: Monster,2015,1,4,180,60,180,17,5192,8.85034,7378,43,571,3729,1302,377
72125,Eclipse,2011,2,6,180,60,180,14,23182,7.9631,24814,583,1078,6944,4317,1769
230802,Azul,2017,2,4,45,30,45,8,17903,7.98307,25255,77,1310,6533,2566,387
126163,Tzolk'in: The Mayan Calendar,2012,2,4,90,90,90,13,22559,7.92971,26018,206,1356,6235,3562,1309
35677,Le Havre,2008,1,5,150,30,150,12,22060,7.90578,24316,307,1610,7081,4512,1680
121921,Robinson Crusoe: Adventures on the Cursed Island,2012,1,4,120,60,120,14,24535,7.93602,37499,736,1518,9297,4263,1442
171623,The Voyages of Marco Polo,2015,2,4,100,40,100,12,13819,7.9542,16175,129,1127,4159,2062,723
124742,Android: Netrunner,2012,2,2,45,45,45,14,23460,7.91287,36811,1394,540,4064,4832,1457
68448,7 Wonders,2010,2,7,30,30,30,10,64180,7.79268,84114,1071,1042,8988,11155,3863
122515,Keyflower,2012,2,6,120,90,120,12,14900,7.87639,18043,212,1213,5044,2751,765
216132,Clans of Caledonia,2017,1,4,120,30,120,12,6827,8.09702,9324,77,831,3589,1251,313
18602,Caylus,2005,2,5,150,60,150,12,23924,7.82315,24325,463,987,5011,5751,3047
28143,Race for the Galaxy,2007,2,4,60,30,60,12,38903,7.76408,46710,948,922,6690,8475,3227
178900,Codenames,2015,2,8,15,15,15,14,45434,7.75346,71766,643,363,4193,6364,1263
12493,Twilight Imperium (Third Edition),2005,3,6,240,180,240,14,16815,7.88784,18961,599,774,4989,4119,1995
146021,Eldritch Horror,2013,1,8,240,120,240,14,21765,7.89034,32450,464,798,6387,3582,1207
62219,Dominant Species,2010,2,6,240,120,240,14,14844,7.84974,15700,307,1233,5789,3448,1283
110327,Lords of Waterdeep,2012,2,5,120,60,120,12,36139,7.77401,44222,457,1191,7498,6295,1888
205896,Rising Sun,2018,3,5,120,90,120,14,8087,8.08239,12781,128,493,3451,1660,286
159675,Fields of Arle,2014,1,2,120,60,120,13,5177,8.15547,8345,122,959,3454,1067,295
157354,Five Tribes,2014,2,4,80,40,80,13,23552,7.79179,30584,296,1269,6867,3686,970
93,El Grande,1995,2,5,120,60,120,12,20517,7.78334,19650,348,1309,4718,4851,1983
146508,T.I.M.E Stories,2015,2,4,240,90,240,12,17090,7.83584,26006,398,919,6072,2705,382
163412,Patchwork,2014,2,2,30,15,30,8,29697,7.7402,43382,290,805,4331,4103,832
40834,Dominion: Intrigue,2009,2,4,30,30,30,13,26059,7.75485,37319,530,439,2706,3745,1256
201808,Clank!: A Deck-Building Adventure,2016,2,4,60,30,60,12,13572,7.83751,17968,180,1140,5717,2109,232
132531,Roll for the Galaxy,2014,2,5,45,45,45,13,19783,7.758,24978,351,1250,5952,3146,692
172386,Mombasa,2015,2,4,150,75,150,12,7700,7.94293,9788,114,695,2696,1186,439
37111,Battlestar Galactica: The Board Game,2008,3,6,300,120,300,10,28764,7.74551,31819,742,677,5089,6066,1984
125153,The Gallerist,2015,1,4,150,60,150,13,6047,8.02349,8502,82,983,3532,1191,454
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1981,1,8,120,60,120,10,12267,7.81645,24320,453,891,5233,2564,476
185343,Anachrony,2017,1,4,120,30,120,15,5179,8.13754,7937,61,749,3392,1157,274
73439,Troyes,2010,2,4,90,90,90,12,14026,7.77036,15103,166,1143,4281,2835,971
103885,Star Wars: X-Wing Miniatures Game,2012,2,2,45,30,45,14,19983,7.79557,33533,636,337,2130,3430,1072
150376,Dead of Winter: A Crossroads Game,2014,2,5,120,60,120,13,30466,7.71883,41530,828,934,7420,4444,1224
144733,Russian Railroads,2013,2,4,120,90,120,12,11298,7.79751,12126,137,860,3070,1856,652
42,Tigris & Euphrates,1997,2,4,90,90,90,12,22395,7.71279,24886,544,1164,5019,6008,2524
102680,Trajan,2011,2,4,120,60,120,12,11798,7.78566,13756,221,932,3735,2261,717
36218,Dominion,2008,2,4,30,30,30,13,64998,7.65686,84411,1768,565,6402,11782,4619
30549,Pandemic,2008,2,4,45,45,45,8,77521,7.64897,113140,1884,624,7369,13332,4733
127023,Kemet,2012,2,5,120,90,120,13,12105,7.75828,14401,182,1387,5839,2139,543
521,Crokinole,1876,2,4,30,30,30,8,8965,7.78198,6660,45,609,3087,2229,544
104162,Descent: Journeys in the Dark (Second Edition),2012,2,5,120,120,120,14,18169,7.74482,28810,647,749,5470,3160,971
194655,Santorini,2016,2,4,20,20,20,8,13682,7.73484,22681,247,853,5138,2418,228
198928,Pandemic: Iberia,2016,2,5,45,45,45,8,5059,8.03067,10322,132,301,1571,891,73
34635,Stone Age,2008,2,4,90,60,90,10,36098,7.61231,38620,386,1627,8364,6704,2512
224517,Brass: Birmingham,2018,2,4,120,60,120,14,2200,8.67289,6647,39,364,1766,729,140
175155,Forbidden Stars,2015,2,4,180,120,180,14,5540,8.00369,9647,245,563,2568,1078,320
161970,Alchemists,2014,2,4,120,120,120,13,13465,7.71646,17608,320,624,3728,2156,748
9609,War of the Ring (First Edition),2004,2,4,120,120,120,12,9328,7.78629,11912,392,430,1938,2873,1366
155426,Castles of Mad King Ludwig,2014,1,4,90,90,90,13,17575,7.64701,22900,377,1067,5296,2988,670
146652,Legendary Encounters: An Alien Deck Building Game,2014,1,5,60,30,60,17,8544,7.81443,12432,251,567,2920,1561,355
103343,A Game of Thrones: The Board Game (Second Edition),2011,3,6,240,120,240,14,22385,7.67817,29235,639,612,4619,3340,1266
147020,Star Realms,2014,2,2,20,20,20,12,25945,7.62111,38752,520,319,2863,4319,1003
128882,The Resistance: Avalon,2012,5,10,30,30,30,13,20777,7.65093,29193,474,294,2839,3170,766
148949,Istanbul,2014,2,5,60,40,60,10,17961,7.62429,22678,257,899,3850,2761,757
155068,Arcadia Quest,2014,2,4,60,60,60,13,7235,7.86578,11769,164,652,3349,1331,271
70149,Ora et Labora,2011,1,4,180,60,180,13,8545,7.73669,10489,185,1049,3421,1637,587
196340,Yokohama,2016,2,4,90,90,90,14,4881,7.94721,7522,75,570,1842,1022,166
14996,Ticket to Ride: Europe,2005,2,5,60,30,60,8,43951,7.5689,58214,461,753,4756,7149,3058
43111,Chaos in the Old World,2009,3,4,120,60,120,13,12740,7.67129,13486,276,777,3504,2733,843
17133,Railways of the World,2005,2,6,120,120,120,10,10167,7.68759,10733,256,739,2944,3006,1313
161533,Lisboa,2017,1,4,120,60,120,12,3223,8.21047,5872,54,577,2341,790,343
123260,Suburbia,2012,1,4,90,90,90,8,17953,7.58555,21531,435,1056,5450,3229,820
14105,Commands & Colors: Ancients,2006,2,2,60,60,60,12,7248,7.78132,9193,245,615,2471,2486,991
182874,Grand Austria Hotel,2015,2,4,120,60,120,12,7110,7.78908,8963,124,721,2386,1309,331
